3 6
Gene name K-12 Locustag MG1655
thrL b0001
thrA b0002
thrB b0003
thrC b0004
yaaX b0005
yaaA b0006
yaaJ b0007
talB b0008
mog b0009
yaaH b0010
yaaW b0011
htgA b0012
yaaI b0013
dnaK b0014
dnaJ b0015
insL b2394
insL b0582
insL b0016
hokC b4412
mokC b0018
sokC b4413
nhaA b0019
nhaR b0020
insB unique to W3110
insB b4576
insB b4564
insB b4563
insB b3445
insB b1893
insB b0988
insB b0274
insB b0264
insB b0021
insA unique to W3110
insA b4516
insA b4294
insA b3444
insA b1894
insA b0275
insA b0265
insA b0022
rpsT b0023
yaaY b0024
ribF b0025
ileS b0026
lspA b0027
fkpB b0028
ispH b0029
rihC b0030
dapB b0031
carA b0032
carB b0033
caiF b0034
caiE b0035
caiD b0036
caiC b0037
caiB b0038
caiA b0039
caiT b0040
fixA b0041
fixB b0042
fixC b0043
fixX b0044
yaaU b0045
kefF b0046
kefC b0047
folA b0048
apaH b0049
apaG b0050
ksgA b0051
pdxA b0052
surA b0053
imp b0054
djlA b0055
yabP b0056
yabQ b0057
rluA b0058
hepA b0059
polB b0060
araD b0061
araA b0062
araB b0063
araC b0064
yabI b0065
thiQ b0066
thiP b0067
tbpA b0068
sgrR b0069
sgrS b4577
setA b0070
leuD b0071
leuC b0072
leuB b0073
leuA b0074
leuL b0075
leuO b0076
ilvI b0077
ilvH b0078
fruR b0080
mraZ b0081
mraW b0082
ftsL b0083
ftsI b0084
murE b0085
murF b0086
mraY b0087
murD b0088
ftsW b0089
murG b0090
murC b0091
ddlB b0092
ftsQ b0093
ftsA b0094
ftsZ b0095
lpxC b0096
secM b0097
secA b0098
mutT b0099
yacG b0101
yacF b0102
coaE b0103
guaC b0104
hofC b0106
hofB b0107
ppdD b0108
nadC b0109
ampD b0110
ampE b0111
aroP b0112
pdhR b0113
aceE b0114
aceF b0115
lpd b0116
yacH b0117
acnB b0118
yacL b0119
speD b0120
speE b0121
yacC b0122
cueO b0123
gcd b0124
hpt b0125
can b0126
yadG b0127
yadH b0128
yadI b0129
yadE b0130
panD b0131
yadD b0132
panC b0133
panB b0134
yadC b0135
yadK b0136
yadL b0137
yadM b0138
htrE b0139
ecpD b0140
yadN b0141
folK b0142
pcnB b0143
yadB b0144
dksA b0145
sfsA b0146
ligT b0147
hrpB b0148
mrcB b0149
fhuA b0150
fhuC b0151
fhuD b0152
fhuB b0153
hemL b0154
clcA b0155
yadR b0156
yadS b0157
btuF b0158
pfs b0159
dgt b0160
degP b0161
cdaR b0162
yaeH b0163
yaeI b0164
dapD b0166
glnD b0167
map b0168
tff b4414
rpsB b0169
tsf b0170
pyrH b0171
frr b0172
dxr b0173
ispU b0174
cdsA b0175
yaeL b0176
yaeT b0177
hlpA b0178
lpxD b0179
fabZ b0180
lpxA b0181
lpxB b0182
rnhB b0183
dnaE b0184
accA b0185
ldcC b0186
yaeR b0187
tilS b0188
rof b0189
yaeP b4406
yaeQ b0190
yaeJ b0191
nlpE b0192
yaeF b0193
proS b0194
yaeB b0195
rcsF b0196
metQ b0197
metI b0198
metN b0199
gmhB b0200
rrsH b0201
ileV b0202
alaV b0203
rrlH b0204
rrfH b0205
aspU b0206
dkgB b0207
yafC b0208
yafD b0209
yafE b0210
mltD b0211
gloB b0212
yafS b0213
rnhA b0214
dnaQ b0215
aspV b0216
yafT b0217
yafU b0218
yafF b4503
yafV b0219
ivy b0220
fadE b0221
lpcA b0222
yafJ b0223
yafK b0224
yafQ b0225
dinJ b0226
yafL b0227
yafM b0228
fhiA b0229
mbhA b0230
dinB b0231
yafN b0232
yafO b0233
yafP b0234
ykfJ b0235
prfH b0236
pepD b0237
gpt b0238
frsA b0239
crl b0240
phoE b0241
proB b0242
proA b0243
thrW b0244
ykfI b0245
yafW b0246
ykfH b4504
ykfG b0247
yafX b0248
ykfF b0249
ykfB b0250
yafY b0251
yafZ b0252
ykfA b0253
perR b0254
insN b0255
insN b4283
insI b4284
insI b1404
insI b0256
insO b0257
ykfC b0258
insH unique to W3110
insH unique to W3110
insH unique to W3110
insH unique to W3110
insH unique to W3110
insH unique to W3110
insH unique to W3110
insH b3505
insH b3218
insH b2982
insH b2192
insH b2030
insH b1994
insH b1370
insH b1331
insH b0656
insH b0552
insH b0259
mmuP b0260
mmuM b0261
afuC b0262
afuB b0263
ykgN b4505
yagB b0266
yagA b0267
yagE b0268
yagF b0269
yagG b0270
yagH b0271
yagI b0272
argF b0273
yagJ b0276
yagK b0277
yagL b0278
yagM b0279
yagN b0280
intF b0281
yagP b0282
yagQ b0283
yagR b0284
yagS b0285
yagT b0286
yagU b0287
ykgJ b0288
yagV b0289
yagW b0290
yagX b0291
yagY b0292
yagZ b0293
ykgK b0294
ykgL b0295
ykgM b4506
ykgM b0296
eaeH b0297
insE b2088
insE b1027
insE b0540
insE b0373
insE b0298
insF b2089
insF b1026
insF b0541
insF b0372
insF b0299
ykgA b0300
ykgB b0301
ykgI b0303
ykgC b0304
ykgD b0305
ykgE b0306
ykgF b0307
ykgG b0308
ykgH b0310
betA b0311
betB b0312
betI b0313
betT b0314
yahA b0315
yahB b0316
yahC b0317
yahD b0318
yahE b0319
yahF b0320
yahG b0321
yahH b0322
yahI b0323
yahJ b0324
yahK b0325
yahL b0326
yahM b0327
yahN b0328
yahO b0329
prpR b0330
prpB b0331
prpC b0333
prpD b0334
prpE b0335
codB b0336
codA b0337
cynR b0338
cynT b0339
cynS b0340
cynX b0341
lacA b0342
lacY b0343
lacZ b0344
lacI b0345
mhpR b0346
mhpA b0347
mhpB b0348
mhpC b0349
mhpD b0350
mhpF b0351
mhpE b0352
mhpT b0353
yaiL b0354
frmB b0355
frmA b0356
frmR b0357
yaiO b0358
yaiX b0359
insC unique to W3110
insC unique to W3110
insC unique to W3110
insC unique to W3110
insC b4272
insC b3044
insC b2861
insC b1997
insC b1403
insC b0360
insD b1996
insD unique to W3110
insD unique to W3110
insD unique to W3110
insD unique to W3110
insD b4273
insD b3045
insD b2860
insD b1402
insD b0361
yaiF b0362
yaiP b0363
yaiS b0364
tauA b0365
tauB b0366
tauC b0367
tauD b0368
hemB b0369
ykiB b0370
yaiT b0371
yaiU b0374
yaiV b0375
ampH b0376
sbmA b0377
yaiW b0378
yaiY b0379
yaiZ b0380
ddlA b0381
yaiB b0382
phoA b0383
psiF b0384
yaiC b0385
proC b0386
yaiI b0387
aroL b0388
yaiA b0389
aroM b0390
yaiE b0391
ykiA b0392
rdgC b0393
mak b0394
araJ b0396
sbcC b0397
sbcD b0398
phoB b0399
phoR b0400
brnQ b0401
proY b0402
malZ b0403
yajB b0404
queA b0405
tgt b0406
yajC b0407
secD b0408
secF b0409
yajD b0410
tsx b0411
yajI b0412
ybaD b0413
ribD b0414
ribE b0415
nusB b0416
thiL b0417
pgpA b0418
yajO b0419
dxs b0420
ispA b0421
xseB b0422
thiI b0423
yajL b0424
panE b0425
yajQ b0426
yajR b0427
cyoE b0428
cyoD b0429
cyoC b0430
cyoB b0431
cyoA b0432
ampG b0433
yajG b0434
bolA b0435
tig b0436
clpP b0437
clpX b0438
lon b0439
hupB b0440
ppiD b0441
ybaV b0442
ybaW b0443
ybaX b0444
ybaE b0445
cof b0446
ybaO b0447
mdlA b0448
mdlB b0449
glnK b0450
amtB b0451
tesB b0452
ybaY b0453
ybaZ b0454
ffs b0455
ybaA b0456
ylaB b0457
ylaC b0458
maa b0459
hha b0460
ybaJ b0461
acrB b0462
acrA b0463
acrR b0464
kefA b0465
ybaM b0466
priC b0467
ybaN b0468
apt b0469
dnaX b0470
ybaB b0471
recR b0472
htpG b0473
adk b0474
hemH b0475
aes b0476
gsk b0477
ybaL b0478
fsr b0479
ushA b0480
ybaK b0481
ybaP b0482
ybaQ b0483
copA b0484
ybaS b0485
ybaT b0486
cueR b0487
ybbJ b0488
ybbK b0489
ybbL b0490
ybbM b0491
ybbN b0492
ybbO b0493
tesA b0494
ybbA b0495
ybbP b0496
rhsD b0497
ybbC b0498
ylbH b0499
ybbD b0500
ylbG b0502
ybbB b0503
ybbS b0504
allA b0505
allR b0506
gcl b0507
hyi b0508
glxR b0509
ybbV b0510
ybbW b0511
allB b0512
ybbY b0513
glxK b0514
ylbA b0515
allC b0516
allD b0517
fdrA b0518
ylbE b4572
ylbE b4507
ylbE b0519
ylbF b0520
ybcF b0521
purK b0522
purE b0523
lpxH b0524
ppiB b0525
cysS b0526
ybcI b0527
ybcJ b0528
folD b0529
sfmA b0530
sfmC b0531
sfmD b0532
sfmH b0533
sfmF b0534
fimZ b0535
argU b0536
intD b0537
ybcC b0539
ybcD b4508
renD b0542
emrE b0543
ybcK b0544
ybcL b0545
ybcM b0546
ybcN b0547
ninE b0548
ybcO b0549
rusA b0550
ylcG b4509
ybcQ b0551
nmpC b0553
essD b0554
ybcS b0555
rzpD b0556
rzoD b4510
borD b0557
ybcV b0558
ybcW b0559
nohB b0560
tfaD b0561
ybcY b0562
ylcE b0563
appY b0564
ompT b0565
envY b0566
ybcH b0567
nfrA b0568
nfrB b0569
cusS b0570
cusR b0571
cusC b0572
cusF b0573
cusB b0574
cusA b0575
pheP b0576
ybdG b0577
nfnB b0578
ybdF b0579
ybdJ b0580
ybdK b0581
hokE b4415
entD b0583
fepA b0584
fes b0585
ybdZ b4511
entF b0586
fepE b0587
fepC b0588
fepG b0589
fepD b0590
ybdA b0591
fepB b0592
entC b0593
entE b0594
entB b0595
entA b0596
ybdB b0597
cstA b0598
ybdD b4512
ybdH b0599
ybdL b0600
ybdM b0601
ybdN b0602
ybdO b0603
dsbG b0604
ahpC b0605
ahpF b0606
uspG b0607
ybdR b0608
rnk b0610
rna b0611
citT b0612
citG b0613
citX b0614
citF b0615
citE b0616
citD b0617
citC b0618
citA b0619
citB b0620
dcuC b0621
dcuC b0621
dcuC b0621
crcA b0622
cspE b0623
crcB b0624
ybeH b0625
ybeM b0626
tatE b0627
lipA b0628
ybeF b0629
lipB b0630
ybeD b0631
dacA b0632
rlpA b0633
mrdB b0634
mrdA b0635
ybeA b0636
ybeB b0637
cobC b0638
nadD b0639
holA b0640
rlpB b0641
leuS b0642
ybeL b0643
ybeQ b0644
ybeR b0645
djlB b0646
ybeT b0647
ybeU b0648
djlC b0649
hscC b0650
rihA b0651
gltL b0652
gltK b0653
gltJ b0654
gltI b0655
lnt b0657
ybeX b0658
ybeY b0659
ybeZ b0660
miaB b0661
ubiF b0662
glnX b0664
glnV b0665
metU b0666
glnW b0668
glnU b0670
leuW b0672
metT b0673
asnB b0674
nagD b0675
nagC b0676
nagA b0677
nagB b0678
nagE b0679
glnS b0680
ybfM b0681
ybfN b0682
fur b0683
fldA b0684
ybfE b0685
ybfF b0686
seqA b0687
pgm b0688
ybfP b0689
ybfG b0690
ybfH b0691
potE b0692
speF b0693
kdpE b0694
kdpD b0695
kdpC b0696
kdpB b0697
kdpA b0698
kdpF b4513
ybfA b0699
rhsC b0700
ybfB b0702
ybfO b0703
ybfC b0704
ybfQ b4514
ybfL b0705
ybfD b0706
ybgA b0707
phr b0708
ybgH b0709
ybgI b0710
ybgJ b0711
ybgK b0712
ybgL b0713
nei b0714
abrB b0715
ybgO b0716
ybgP b0717
ybgQ b0718
ybgD b0719
gltA b0720
sdhC b0721
sdhD b0722
sdhA b0723
sdhB b0724
sucA b0726
sucB b0727
sucC b0728
sucD b0729
mngR b0730
mngA b0731
mngB b0732
cydA b0733
cydB b0734
ybgT b4515
ybgE b0735
ybgC b0736
tolQ b0737
tolR b0738
tolA b0739
tolB b0740
pal b0741
ybgF b0742
lysT b0743
valT b0744
lysW b0745
valZ b0746
lysY b0747
lysZ b0748
lysQ b0749
nadA b0750
pnuC b0751
zitB b0752
ybgS b0753
aroG b0754
gpmA b0755
galM b0756
galK b0757
galT b0758
galE b0759
modF b0760
modE b0761
ybhT b0762
modA b0763
modB b0764
modC b0765
ybhA b0766
ybhE b0767
ybhD b0768
ybhH b0769
ybhI b0770
ybhJ b0771
ybhC b0772
ybhB b0773
bioA b0774
bioB b0775
bioF b0776
bioC b0777
bioD b0778
uvrB b0779
ybhK b0780
moaA b0781
moaB b0782
moaC b0783
moaD b0784
moaE b0785
ybhL b0786
ybhM b0787
ybhN b0788
ybhO b0789
ybhP b0790
ybhQ b0791
ybhR b0792
ybhS b0793
ybhF b0794
ybhG b0795
ybiH b0796
rhlE b0797
ybiA b0798
dinG b0799
ybiB b0800
ybiC b0801
ybiJ b0802
ybiI b0803
ybiX b0804
fiu b0805
ybiM b0806
ybiN b0807
ybiO b0808
glnQ b0809
glnP b0810
glnH b0811
dps b0812
rhtA b0813
ompX b0814
ybiP b0815
yliL b0816
rybA b4416
mntR b0817
ybiR b0818
ybiS b0819
ybiT b0820
ybiU b0821
ybiV b0822
ybiW b0823
ybiY b0824
fsaA b0825
moeB b0826
moeA b0827
iaaA b0828
yliA b0829
yliB b0830
yliC b0831
yliD b0832
yliE b0833
yliF b0834
yliG b0835
yliH b0836
yliI b0837
yliJ b0838
dacC b0839
deoR b0840
ybjG b0841
cmr b0842
ybjH b0843
ybjI b0844
ybjJ b0845
ybjK b0846
rybB b4417
ybjL b0847
ybjM b0848
grxA b0849
ybjC b0850
nfsA b0851
rimK b0852
ybjN b0853
potF b0854
potG b0855
potH b0856
potI b0857
ybjO b0858
rumB b0859
artJ b0860
artM b0861
artQ b0862
artI b0863
artP b0864
ybjP b0865
ybjQ b0866
ybjR b0867
ybjS b0868
ybjT b0869
ltaE b0870
poxB b0871
hcr b0872
hcp b0873
ybjE b0874
aqpZ b0875
ybjD b0876
ybjX b0877
macA b0878
macB b0879
cspD b0880
clpS b0881
clpA b0882
serW b0883
infA b0884
aat b0885
cydC b0886
cydD b0887
trxB b0888
lrp b0889
ftsK b0890
lolA b0891
ycaJ b0892
serS b0893
dmsA b0894
dmsB b0895
dmsC b0896
ycaC b0897
ycaD b0898
ycaM b0899
ycaN b0900
ycaK b0901
pflA b0902
pflB b0903
focA b0904
ycaO b0905
ycaP b0906
serC b0907
aroA b0908
ycaL b0909
cmk b0910
rpsA b0911
ihfB b0912
ycaI b0913
msbA b0914
lpxK b0915
ycaQ b0916
ycaR b0917
kdsB b0918
ycbJ b0919
ycbC b0920
smtA b0921
mukF b0922
mukE b0923
mukB b0924
ycbB b0925
ycbK b0926
ycbL b0927
aspC b0928
ompF b0929
asnS b0930
pncB b0931
pepN b0932
ssuB b0933
ssuC b0934
ssuD b0935
ssuA b0936
ssuE b0937
ycbQ b0938
ycbR b0939
ycbS b0940
ycbT b0941
ycbU b0942
ycbV b0943
ycbF b0944
pyrD b0945
ycbW b0946
ycbX b0947
ycbY b0948
uup b0949
pqiA b0950
pqiB b0951
ymbA b0952
rmf b0953
fabA b0954
ycbZ b0955
ycbG b0956
ompA b0957
sulA b0958
yccR b0959
yccS b0960
yccF b0961
helD b0962
mgsA b0963
yccT b0964
yccU b0965
yccV b0966
yccW b0967
yccX b0968
yccK b0969
yccA b0970
serT b0971
hyaA b0972
hyaB b0973
hyaC b0974
hyaD b0975
hyaE b0976
hyaF b0977
appC b0978
appB b0979
appA b0980
yccC b0981
etp b0982
yccZ b0983
ymcA b0984
ymcB b0985
ymcC b0986
ymcD b0987
cspH b0989
cspG b0990
ymcE b0991
gnsA b4517
yccM b0992
torS b0993
torT b0994
torR b0995
torC b0996
torA b0997
torD b0998
cbpM b0999
cbpA b1000
yccE b1001
agp b1002
yccJ b1003
wrbA b1004
ymdF b4518
ycdG b1006
ycdH b1007
ycdI b1008
rarA b1009
ycdK b1010
ycdL b1011
ycdM b1012
ycdC b1013
putA b1014
putP b1015
ycdN b4490
ycdN b1017
ycdN b1016
ycdO b1018
ycdB b1019
phoH b1020
ycdP b1021
ycdQ b1022
ycdR b1023
ycdS b1024
ycdT b1025
ymdE b1028
ycdU b1029
serX b1032
ycdW b1033
ycdX b1034
ycdY b1035
ycdZ b1036
csgG b1037
csgF b1038
csgE b1039
csgD b1040
csgB b1041
csgA b1042
csgC b1043
ymdA b1044
ymdB b1045
ymdC b1046
mdoC b1047
mdoG b1048
mdoH b1049
yceK b1050
msyB b1051
mdtG b1053
lpxL b1054
yceA b1055
yceI b1056
yceJ b1057
yceO b1058
solA b1059
yceP b1060
dinI b1061
pyrC b1062
yceB b1063
grxB b1064
mdtH b1065
rimJ b1066
yceH b1067
mviM b1068
mviN b1069
flgN b1070
flgM b1071
flgA b1072
flgB b1073
flgC b1074
flgD b1075
flgE b1076
flgF b1077
flgG b1078
flgH b1079
flgI b1080
flgJ b1081
flgK b1082
flgL b1083
rne b1084
yceQ b1085
rluC b1086
yceF b1087
sraB b4418
yceD b1088
rpmF b1089
plsX b1090
fabH b1091
fabD b1092
fabG b1093
acpP b1094
fabF b1095
pabC b1096
yceG b1097
tmk b1098
holB b1099
ycfH b1100
ptsG b1101
fhuE b1102
hinT b1103
ycfL b1104
ycfM b1105
ycfN b1106
nagZ b1107
ycfP b1108
ndh b1109
ycfJ b1110
ycfQ b1111
ycfR b1112
ycfS b1113
mfd b1114
ycfT b1115
lolC b1116
lolD b1117
lolE b1118
ycfX b1119
cobB b1120
ycfZ b1121
ymfA b1122
potD b1123
potC b1124
potB b1125
potA b1126
pepT b1127
ycfD b1128
phoQ b1129
phoP b1130
purB b1131
hflD b1132
trmU b1133
ymfB b1134
ymfC b1135
icd b1136
ymfD b1137
ymfE b1138
lit b1139
intE b1140
ymfG b1141
ymfH b1142
ymfI b1143
ymfJ b1144
