ECK0002 ECK0002-THRA
ECK0003 ECK0003-THRB
ECK0004 ECK0004-THRC
ECK0007 ECK0007-YAAJ
ECK0008 ECK0008-TALB
ECK0009 ECK0009-MOG
ECK0020 ECK0020-NHAA
ECK0026 ECK0026-RIBF - SPA
ECK0030 ECK0030-ISPH - SPA
ECK0031 ECK0031-RIHC
ECK0033 ECK0033-CARA
ECK0034 ECK0034-CARB
ECK0037 ECK0037-CAID
ECK0038 ECK0038-CAIC
ECK0039 ECK0039-CAIB
ECK0041 ECK0041-CAIT
ECK0048 ECK0048-KEFC
ECK0049 ECK0049-FOLA - SPA
ECK0050 ECK0050-APAH
ECK0053 ECK0053-PDXA
ECK0067 ECK0067-THIQ
ECK0068 ECK0068-THIP
ECK0069 ECK0069-TBPA
ECK0072 ECK0072-SETA
ECK0073 ECK0073-LEUD
ECK0074 ECK0074-LEUC
ECK0075 ECK0075-LEUB
ECK0076 ECK0076-LEUA
ECK0079 ECK0079-ILVI
ECK0080 ECK0080-ILVH
ECK0086 ECK0086-A - Linked
ECK0086 ECK0086-B - Allele
ECK0086 ECK0086-C - SPA
ECK0087 ECK0087-MURF - SPA
ECK0089 ECK0089-MURD - SPA
ECK0091 ECK0091-MURG - SPA
ECK0092 ECK0092-MURC - SPA
ECK0093 ECK0093-DDLB
ECK0097 ECK0097-A-LPXC-KAN - Linked
ECK0097 ECK0097-B-LPXC(G210S)-KAN - Allele
ECK0097 ECK0097-C-LPXC-SPA - SPA
ECK0100 ECK0100-MUTT
ECK0104 ECK0104-GUAC
ECK0108 ECK0108-NADC
ECK0109 ECK0109-AMPD
ECK0111 ECK0111-AROP
ECK0113 ECK0113-ACEE
ECK0114 ECK0114-ACEF
ECK0117 ECK0117-ACNB
ECK0119 ECK0119-SPED
ECK0120 ECK0120-SPEE
ECK0122 ECK0122-CUEO
ECK0123 ECK0123-GCD
ECK0124 ECK0124-HPT
ECK0125 ECK0125-CAN - SPA
ECK0130 ECK0130-PAND
ECK0133 ECK0133-PANB
ECK0148 ECK0148-MRCB
ECK0149 ECK0149-FHUA
ECK0150 ECK0150-FHUC
ECK0151 ECK0151-FHUD
ECK0152 ECK0152-FHUB
ECK0154 ECK0154-CLCA
ECK0157 ECK0157-BTUF
ECK0158 ECK0158-MTN
ECK0159 ECK0159-DGT
ECK0170 ECK0170-PYRH - SPA
ECK0173 ECK0173-ISPU - SPA
ECK0179 ECK0179-A-FABZ-KAN - Linked
ECK0179 ECK0179-B-FABZ(F101Y)-KAN - Allele
ECK0180 ECK0180-LPXA - SPA
ECK0181 ECK0181-LPXB - SPA
ECK0185 ECK0185-LDCC
ECK0197 ECK0197-METQ
ECK0198 ECK0198-METI
ECK0199 ECK0199-METN
ECK0200 ECK0200-GMHB
ECK0207 ECK0207-DKGB
ECK0212 ECK0212-GLOB
ECK0222 ECK0222-FADE
ECK0223 ECK0223-LPCA
ECK0238 ECK0238-PEPD
ECK0239 ECK0239-GPT
ECK0242 ECK0242-PHOE
ECK0243 ECK0243-PROB
ECK0244 ECK0244-PROA
ECK0262 ECK0262-MMUP
ECK0274 ECK0274-ARGF
ECK0305 ECK0305-YKGE
ECK0306 ECK0306-YKGF
ECK0307 ECK0307-YKGG
ECK0309 ECK0309-BETA
ECK0310 ECK0310-BETB
ECK0321 ECK0321-YAHI
ECK0329 ECK0329-PRPB
ECK0330 ECK0330-PRPC
ECK0331 ECK0331-PRPD
ECK0333 ECK0333-CODB
ECK0334 ECK0334-CODA
ECK0336 ECK0336-CYNT
ECK0337 ECK0337-CYNS
ECK0338 ECK0338-CYNX
ECK0340 ECK0340-LACY
ECK0344 ECK0344-MHPA
ECK0345 ECK0345-MHPB
ECK0346 ECK0346-MHPC
ECK0347 ECK0347-MHPD
ECK0348 ECK0348-MHPF
ECK0349 ECK0349-MHPE
ECK0350 ECK0350-MHPT
ECK0352 ECK0352-FRMB
ECK0353 ECK0353-FRMA
ECK0362 ECK0362-TAUA
ECK0363 ECK0363-TAUB
ECK0364 ECK0364-TAUC
ECK0365 ECK0365-TAUD
ECK0376 ECK0376-DDLA
ECK0378 ECK0378-PHOA
ECK0381 ECK0381-PROC
ECK0383 ECK0383-AROL
ECK0389 ECK0389-MAK
ECK0395 ECK0395-BRNQ
ECK0397 ECK0397-MALZ
ECK0398 ECK0398-ACPH
ECK0405 ECK0405-TSX
ECK0408 ECK0408-RIBD - SPA
ECK0409 ECK0409-RIBE - SPA
ECK0412 ECK0412-PGPA
ECK0415 ECK0415-ISPA - SPA
ECK0417 ECK0417-THII
ECK0419 ECK0419-PANE
ECK0422 ECK0422-CYOE
ECK0423 ECK0423-CYOD
ECK0424 ECK0424-CYOC
