2 3 4 5
Locustag K-12 Gene name
ECK0001 thrL thrL b0001
ECK0002 thrA thrA Hs
ECK0003 thrB thrB b0003
ECK0004 thrC thrC b0004
ECK0005 yaaX yaaX b0005
ECK0006 yaaA yaaA b0006
ECK0007 yaaJ yaaJ b0007
ECK0008 talB talB yaaK
ECK0009 mog mog bisD
ECK0010 yaaH yaaH b0010
ECK0011 yaaW yaaW htgA
ECK0012 htgA htgA htpY
ECK0013 yaaI yaaI b0013
ECK0014 dnaK dnaK grpF
ECK0015 dnaJ dnaJ groP
ECK0016 insL insL-3 yi81-3
ECK0016 insL insL-2 yi81-2
ECK0016 insL insL-1 yi81-1
ECK0017 hokC hokC gef
ECK0018 mokC mokC gefL
ECK0019 sokC sokC sof
ECK0020 nhaA nhaA ant
ECK0021 nhaR nhaR yaaB
ECK0022 insB insB unique
insB insB-7 b4576 4516744
ECK0022 insB insB-7_2 b4564
ECK0022 insB insB-7_1 b4563
ECK0022 insB insB-6 b3445
ECK0022 insB insB-5 b1893
ECK0022 insB insB-4 b0988
ECK0022 insB insB-3 b0274
ECK0022 insB insB-2 b0264
ECK0022 insB insB-1 b0021
ECK0023 insA insA unique
ECK0023 insA insA-4 b4516
ECK0023 insA insA-7 b4294
ECK0023 insA insA-6 b3444
ECK0023 insA insA-5 b1894
ECK0023 insA insA-3 b0275
ECK0023 insA insA-2 b0265
ECK0023 insA insA-1 b0022
ECK0024 rpsT rpsT sup(s20)
ECK0025 yaaY yaaY b0024
ECK0026 ribF ribF yaaC
ECK0027 ileS ileS ilvS
ECK0028 lspA lspA dapB
ECK0029 fkpB fkpB slpA
ECK0030 ispH ispH lytB
ECK0031 rihC rihC yaaF
ECK0032 dapB dapB b0031
ECK0033 carA carA arg+ura
ECK0034 carB carB arg+ura
ECK0035 caiF caiF b0034
ECK0036 caiE caiE b0035
ECK0037 caiD caiD yaaL
ECK0038 caiC caiC yaaM
ECK0039 caiB caiB yaaN
ECK0040 caiA caiA yaaO
ECK0041 caiT caiT yaaT
ECK0042 fixA fixA yaaQ
ECK0043 fixB fixB yaaR
ECK0044 fixC fixC yaaS
ECK0045 fixX fixX yaaT
ECK0046 yaaU yaaU yabE
ECK0047 kefF kefF yabF
ECK0048 kefC kefC trkC
ECK0049 folA folA tmrA
ECK0050 apaH apaH cfcB
ECK0051 apaG apaG temP
ECK0052 ksgA ksgA rsmA
ECK0053 pdxA pdxA b0052
ECK0054 surA surA b0053
ECK0055 imp imp ostA
ECK0056 djlA djlA yabH
ECK0057 yabP yabP b0056
ECK0058 yabQ yabQ b0057
ECK0059 rluA rluA yabO
ECK0060 hepA hepA rapA
ECK0061 polB polB dinA
ECK0062 araD araD b0061
ECK0063 araA araA b0062
