Gene	PH4	PH4.5	PH5	PH6	PH8	PH9	PH9.5	PH10
ECK1963-HCHA	-1.368761	-0.42493	1.306576	-0.429939	1.722157	-1.393289	0.276161	-4.510485
ECK1488-PQQL	-1.40919	-1.159015	0.899101	-1.204354	0.833369	1.023973	1.848911	1.794
ECK0813-YBIW	-0.010925	0.389893	1.683343	0.68076	0.467709	-0.688352	-0.286187	-2.927139
ECK2456-EUTP	-0.125112	-0.739563	1.196197	-0.569878	0.387337	-0.340683	0.949193	-0.976007
ECK3716-BGLG	-1.33066	-1.179364	-2.814362	-1.274608	0.760483	-0.390204	0.405901	-0.65295
ECK1235-ADHE	0.15202	0.55159	-1.043694	-0.225512	1.741851	-1.245731	-0.151571	-1.482938
ECK3926-CYTR	0.409029	-0.28871	-0.238265	1.085191	1.41541	-0.894649	-1.057183	-1.931706
ECK2737-NLPD	-3.504256	-6.348772	-2.789865	-0.7885	0.403779	0.907457	0.935724	0.171922
ECK1700-PPS	1.078267	0.042844	-0.22693	-0.910857	1.112945	-0.838676	0.465152	0.842886
ECK2623-YFJK	-0.32244	-0.302647	-1.134112	0.11001	0.300116	1.761997	1.933599	0.409546
ECK1330-FNR	-0.16613	-0.243318	0.918449	0.4718	0.498056	-0.088876	-0.349417	-0.276588
ECK3119-AGAR	0.125866	0.148399	-0.525729	-0.659459	1.070958	0.478931	0.58188	0.01353
ECK2272-NUOL	-0.05861	0.614566	0.344053	1.941414	-0.478574	-1.422255	-3.347903	-2.185255
ECK2639-YFJX	1.386148	-0.085851	1.780159	-2.192336	-0.13062	-0.067233	2.063667	2.128233
ECK0434-HUPB	0.000429	-0.004172	-0.42023	0.195061	-1.524894	-0.029631	-0.79622	-0.951542
ECK3924-HSLV	1.122461	0.996326	-0.00236	0.605429	-0.49545	1.069043	2.456101	2.210657
ECK2281-NUOB	-0.766101	-0.461532	-0.277555	2.159598	-2.04832	0.398187	-0.504365	-0.100769
ECK2727-YGBA	1.776614	1.403273	0.321382	-2.175966	-1.888117	-2.366708	0.034501	-1.490804
ECK3512-YHJJ	0.805243	0.247576	-1.080519	-1.760336	-2.328122	-1.087301	0.196249	-1.299239
ECK3225-MDH	0.549914	0.413765	0.603152	-0.119706	-2.588189	-1.536504	-1.605864	-0.938068
ECK1562-YDFX	0.738739	0.741918	-0.596073	-0.551612	-2.500634	-2.3771	-0.093831	-0.474891
ECK0664-NAGC	-1.875915	-0.519005	-0.341661	1.922025	-0.362017	0.132146	1.226362	-0.813706
ECK4170-HFLK	-0.728798	0.693226	1.495446	2.661911	-0.871571	-1.00636	-0.300462	-0.751793
ECK3942-PFLD	1.553315	0.81611	0.812871	-0.628082	-0.026558	0.356695	0.799188	1.404468
ECK1602-YDGC	1.049805	0.869274	0.01813	-0.914914	-0.043006	-0.275161	0.780111	-0.469855
ECK3899-RHAR	2.027191	1.146173	0.291284	0.881882	-0.248051	0.971902	0.125055	1.099521
ECK2175-YEJG	-0.23207	-0.827065	-2.103463	0.793383	-1.850327	0.10034	0.306922	0.305655
ECK4147-FRDD	0.125674	0.222058	-2.181209	-0.116155	-0.161979	0.927842	-0.965585	-0.079122
ECK1665-YDHT	0.253141	0.111566	-1.424895	0.327701	-1.336105	-1.558116	-1.48057	-2.445837
ECK1319-TYRR	-0.770353	-0.652301	-0.496696	0.131722	-0.753523	0.416606	0.101195	1.036081
ECK2236-YFAD	0.227552	0.604995	-1.265451	0.044725	-0.502769	-0.289477	-0.230456	-1.045875
ECK2269-YFBP	-0.294729	0.002951	-0.302205	-0.998558	-0.275035	-2.531868	0.018693	-1.507411
ECK1115-PHOQ	-1.14966	-0.052593	1.353927	2.19274	0.878561	0.827786	1.729591	0.683948
ECK1809-YOAH	-0.771944	0.221579	0.70229	-0.064972	-0.693331	-1.06935	0.611434	0.928334
ECK0114-ACEF	-0.593912	1.29863	3.496031	4.517743	3.947379	-10.104115	-9.01777	-17.407494
ECK2350-YFDM'	-1.173078	-0.47546	0.290174	-0.569507	-0.28861	-0.471612	1.137263	0.594036
ECK1884-CHEB	-0.212077	-0.243582	0.371235	-1.184632	-1.504466	0.817133	2.34161	2.474038
ECK1847-YEBE	1.024742	1.029005	2.826712	1.765373	1.763298	2.005338	2.708393	1.299839
ECK0710-SDHC	0.180658	0.215923	0.357532	-0.25196	-0.009499	1.796177	0.650653	0.926693
ECK2393-YFED	0.607201	0.151563	2.836984	-0.451603	1.523395	0.182203	1.450844	-0.906109
ECK2212-ATOS	1.156422	1.409594	1.978063	2.246859	0.473305	0.956866	1.406355	0.739686
ECK1905-YECH	-1.651151	-1.646948	2.083837	0.772869	1.029821	0.758902	0.927335	0.43015
ECK2780-BARA	-1.895502	-0.796356	2.600131	-1.267372	-1.146916	-1.049109	-0.501522	-1.234096
ECK2002-YEEA	-1.154447	-0.222868	-0.333771	-0.149964	-0.923444	-0.297386	-0.017478	-0.635398
ECK1455-PPTA	-0.198996	-0.046633	-0.623069	0.537403	-0.105559	-0.258873	0.599613	0.40793
ECK3660-UHPA	0.653217	-0.841721	-1.070195	0.831523	-0.275091	0.58985	0.548181	-0.248521
ECK2105-YEHE	0.823746	0.024476	-0.235334	0.636865	-0.122969	0.003053	-0.519588	-1.143092
ECK2148-CIRA	-0.40771	-0.164539	0.038787	0.12833	-0.114752	0.918335	0.576651	-0.810381
ECK4106-BASR	-0.795034	0.947008	0.05447	-0.449801	0.811178	-1.066996	0.189133	-0.229248
ECK2116-YEHS	-1.097385	-0.628096	-0.348738	1.374404	-0.535004	-0.449156	-0.286421	0.150629
ECK0761-YBHC	-1.373146	-0.585059	0.368631	0.785886	1.070224	2.278561	-0.40783	0.848251
ECK0287-YKGJ	0.487361	-0.113355	-0.813985	0.097614	0.088675	0.894598	-0.662423	0.115345
ECK1185-TREA	-0.938597	-0.794597	-0.877102	0.098632	-0.82223	-1.041882	-0.870497	-0.903861
ECK0992-YCCE	0.159181	0.430893	0.894122	0.764758	-0.383058	-0.516483	-0.702186	-0.210791
ECK0355-YAIO	0.752542	-0.245563	1.056414	1.436228	0.871059	0.946989	-0.347872	0.694919
ECK0862-POXB	1.524786	1.025721	0.344459	-0.003229	-2.921999	-2.299596	-2.309351	-3.128305
ECK2056-WZA	1.361323	1.44136	0.281317	-0.20947	-0.27874	-0.417956	-0.322424	0.0823
ECK0386-YAIE	0.746992	0.377324	0.515581	-1.104566	-0.867382	-1.37448	-0.855294	-0.094487
ECK2930-TKTA	2.180537	1.072255	0.275433	0.232687	1.093169	0.227414	-0.216244	-0.214846
ECK1101-YCFT	0.734694	0.272193	-0.055674	1.534087	-2.103621	-1.336745	-1.770338	-1.191765
ECK0405-TSX	-0.762244	-1.24513	-1.738494	-1.716898	-2.235727	0.280331	-2.447129	-0.698592
ECK3062-AER	-0.486511	-1.125782	-1.240644	0.588326	-2.254787	1.37963	-1.996657	-0.317398
ECK1252-YCIF	-0.87308	-1.012241	-1.953787	0.057806	-0.721361	-0.519676	-1.44407	-0.298623
ECK0757-YBHD	-0.818464	0.668964	0.444734	0.547096	-0.993082	-0.285083	0.284585	-0.091428
ECK0636-YBEL	0.443091	0.756209	0.56657	-0.008354	-0.186332	0.678061	-0.205047	0.608976
ECK1324-YCJY	0.001875	-0.143407	-1.333836	0.211279	-0.943833	0.442526	-0.936755	-0.087507
ECK1590-YNFL	-0.586387	0.505094	-0.406931	-0.281141	1.202907	0.160414	0.419983	0.75709
ECK0690-YBFB	-1.33513	-0.57657	-0.651754	0.084137	0.790259	0.860117	-1.202199	0.874043
ECK0563-CUSR	-1.511549	-1.254835	-0.838407	-0.038569	-0.586992	1.328018	-1.767414	-0.158849
ECK1357-YDAU	0.650196	1.417492	0.107655	0.753777	1.613647	0.752563	0.360875	0.890858
ECK0107-PPDD	-0.640047	0.667101	0.599647	0.485268	2.382087	2.250596	0.454438	1.040863
ECK0787-YBIA	0.026433	0.445852	0.802766	0.210346	1.077744	-1.060819	-0.702385	-1.008706
ECK1404-YNBD	-0.280413	-0.444792	-0.529988	1.349097	1.160418	0.460273	-0.492719	-0.055419
ECK0488-TESA	0.414154	1.41306	1.207368	1.085136	1.136295	-0.719165	0.316787	-0.001689
ECK0849-YBJO	-1.135373	-0.71979	-0.157537	-0.18039	0.723574	1.081928	0.791935	0.765512
ECK1113-PEPT	-0.096729	0.161931	2.648899	1.016712	0.771088	1.29413	0.320841	0.756295
ECK1021-YCDY	0.147979	0.165065	1.724254	0.469676	0.365902	0.345326	1.455591	0.442306
ECK1764-SPPA	1.005988	0.691435	1.385157	0.47727	2.016108	0.277153	1.253339	0.435195
ECK2457-EUTS	1.068729	1.336133	-1.091616	0.84857	0.184178	-0.690082	-0.464534	-1.843312
ECK1264-BTUR	-0.485402	-0.409076	-1.866256	1.030719	0.148763	1.18798	0.782865	-0.066107
ECK2322-MEPA	-0.653428	0.575209	-0.646583	0.778704	0.457391	0.353091	0.641389	0.411655
ECK1271-ACNA	-1.806333	-1.422265	-1.863288	-0.123413	0.473549	-0.918264	0.635788	-0.333762
ECK0830-DEOR	-0.210829	-0.463867	-0.545798	0.911818	0.135987	1.147557	-0.025535	0.414239
ECK2748-IAP	-0.105863	1.339332	1.450306	0.491943	0.385932	0.560853	0.1014	1.224472
ECK2624-YFJL	0.364546	0.751532	0.921803	0.251022	0.208371	-0.499736	0.697003	0.013949
ECK2800-FUCR	-0.018483	-1.011613	-0.49522	1.167133	1.233343	0.607548	-0.334254	0.531865
ECK3117-SOHA	0.251205	0.113524	1.025995	0.711322	-0.676515	0.435003	0.164339	0.646139
ECK2273-NUOK	-1.413796	-0.504836	0.13286	2.418039	0.796998	-0.82714	-1.948779	-1.880207
ECK2643-YPJF	1.153522	0.351764	1.883583	-1.049107	0.781744	0.742079	1.319552	1.480842
ECK2912-ARGP	1.379087	-0.003759	-1.241248	-1.254443	-1.386189	-0.80517	-0.423107	-0.384913
ECK3891-FRVX	1.096717	-0.304059	-0.968099	-2.321989	1.721796	1.324717	0.454262	1.454844
ECK2282-NUOA	-1.610141	-0.296548	0.744499	3.693387	-0.240193	1.2101	-0.53931	0.22002
ECK2744-YGBE	-2.500197	-0.595783	-0.028256	-2.691315	-0.66421	-1.322456	-0.666375	-0.705713
ECK3483-PRLC	1.060733	1.477324	1.183582	-0.101158	0.006196	-0.132879	-0.878087	-0.888933
ECK3367-YHFW	0.637183	0.659598	-0.237439	0.068491	-0.073313	0.378496	0.22011	1.030425
ECK1565-YDFA	0.410203	5.116692	3.749902	0.828832	-0.808705	-0.625936	-0.102523	-0.975719
ECK4171-HFLC	-2.753281	0.290674	0.787198	1.833064	-0.735681	-2.005156	-2.361443	-3.239482
ECK1621-CNU	0.380879	0.307378	0.373889	-0.717746	0.775121	-0.945703	-0.599536	-0.1443
ECK2218-YFAP	0.501302	0.765605	0.159308	-0.287325	-0.558601	-1.360674	-0.274722	-0.719813
ECK4148-FRDC	-0.29255	-0.475127	-1.142366	0.626763	0.08705	0.975819	-0.851087	1.050068
ECK1668-YDHW	0.151201	0.659961	0.307444	-0.30048	0.196317	-1.566206	0.153828	0.39179
ECK1613-UIDR	0.695666	1.772869	1.143063	0.435481	-0.404818	-1.946507	-2.073781	-1.819893
ECK2237-YPAA	0.588588	-0.059068	-0.638247	0.548674	-1.769606	-1.613642	-0.732952	-1.604518
ECK0612-DPIB	-1.37831	-1.159541	-1.096145	1.129909	0.57064	1.014897	-1.021844	-0.407424
ECK2285-YFBR	0.601681	0.180089	-0.821475	0.866829	-0.064429	-0.63462	-0.882819	-1.693482
ECK1116-PHOP	-5.141769	-0.39474	-0.984073	0.378242	-1.028511	-0.467982	-1.045284	-0.873903
ECK1818-YOBD	-0.016162	-0.052122	1.012884	1.104427	-0.415632	0.967058	-0.407424	0.323702
ECK0117-ACNB	-0.607028	-2.712084	-2.566007	0.392263	-0.511658	-0.524493	0.711955	-0.452213
ECK2352-YFDO'	-0.459968	0.026587	0.240826	-0.118902	1.530187	-1.204769	-0.166006	-0.557092
ECK1889-CHEA	0.392062	0.229632	0.291679	-0.722901	0.378619	-0.227877	0.504221	-0.324301
ECK1849-YEBG	-0.316315	0.024847	1.548907	0.553675	0.797407	-1.157577	-0.022362	-0.111225
ECK0711-SDHD	-0.636445	-0.920363	-0.687912	-0.779002	-0.017305	-0.232096	0.608861	-0.188588
ECK2414-YFEK	-0.893931	-0.734292	1.104729	-0.168412	-0.301501	-1.346668	1.143274	0.470707
ECK2213-ATOC	0.489525	-0.451762	2.305698	0.62579	0.589711	-1.667451	0.463137	0.470287
ECK1914-YECF	-0.24113	-0.220412	0.955472	-0.153293	-0.230673	-0.913101	2.213807	1.304765
ECK3016-QSEB	0.076909	0.024893	-0.054272	-0.637579	2.732754	0.756984	0.501404	-0.539456
ECK2007-YEEE	0.126869	-0.364776	-0.707064	-1.828621	2.089883	-1.455097	-0.569166	-0.198807
ECK1466-YDDL'	-0.418895	-0.797061	-0.632237	0.464751	0.878662	-0.31192	0.277485	-0.514921
ECK3861-GLNG	0.114032	-0.378237	0.713487	1.570383	0.404137	1.022316	1.774257	0.609384
ECK2109-YEHI	-0.027236	0.965978	2.519121	1.170413	1.351131	-0.770013	0.130589	-0.519894
ECK1547-YDFP	0.5746	1.746528	1.672134	1.523064	0.03993	-0.609675	-0.260571	-0.478623
ECK4117-DCUR	-0.662206	-0.438793	-0.340612	-0.31862	0.247993	1.059276	1.368602	2.040818
ECK1014-PGAA	-0.305259	0.74568	-0.250737	-0.261262	1.523504	0.35432	-0.348019	0.041164
ECK2043-CPSB	-0.338457	-0.997899	0.321383	-0.273441	1.526136	-0.557223	0.012229	0.561362
ECK0994-YCCJ	1.104521	0.812429	0.906236	0.526311	-1.415534	-0.096965	-0.581428	0.195808
