Gene	16C - 	18C - 	20C - 	40C - 	42C - 	43.5C - 	45C - 
ECK1963-HCHA	-0.675271	-0.918076	-1.436284	-1.214456	-0.906898	-2.379295	-1.001298
ECK1488-PQQL	0.015215	1.345985	0.553196	-0.576251	0.248056	-0.610741	-0.991621
ECK0813-YBIW	-0.566936	0.584668	-0.279345	0.317177	-0.414777	-1.50648	-1.392852
ECK2456-EUTP	-0.420093	-0.319372	-1.541142	1.015342	0.384086	-0.216044	-0.262656
ECK3716-BGLG	-1.651916	1.075849	-1.248408	0.138129	0.134267	-1.118481	-0.432943
ECK1235-ADHE	0.148543	1.290739	1.830771	-1.962797	-1.881246	-2.740064	-1.309983
ECK3926-CYTR	-1.520867	0.338411	-0.131314	0.809165	0.408214	0.161766	0.228839
ECK2737-NLPD	-3.379851	-2.156078	-1.56036	-1.07552	-2.757384	-1.610071	1.129547
ECK1700-PPS	0.020561	-1.700686	0.210437	1.206461	0.928928	0.709944	0.886082
ECK2623-YFJK	-1.007135	0.344995	0.477422	-0.748493	-1.290977	-1.055204	
ECK1330-FNR	1.831618	0.430709	1.134904	1.127927	0.934231	0.634838	-0.498285
ECK3119-AGAR	-0.703057	0.258727	1.347725	-0.898813	-1.090138	-2.495394	-0.502913
ECK2272-NUOL	2.995764	2.074011	3.081967	0.696896	0.645968	0.360795	0.944035
ECK2639-YFJX	-0.265951	-0.56485	-0.542864	-1.01598	1.089177	-0.252857	-0.023659
ECK0434-HUPB	-0.934858	-0.659402	0.882255	1.295834	1.32349	0.490461	1.435421
ECK3924-HSLV	-0.128468	-0.212521	0.115264	-0.192464	-0.143712	0.297084	-0.347559
ECK2281-NUOB	3.127934	2.098325	3.178884	0.383677	0.802816	0.187566	0.805332
ECK2727-YGBA	-0.66445	0.372956	0.350392	0.114502	-0.109743	-0.083267	0.651329
ECK3512-YHJJ	0.361778	0.333164	-1.312381	2.037241	1.286397	0.208268	1.324862
ECK3225-MDH	2.197748	0.226643	1.511797	-0.595126	0.392635	-1.28098	-1.044109
ECK1562-YDFX	1.144335	0.250029	0.380257	0.782758	0.654741	0.529289	1.312914
ECK0664-NAGC	-0.181782	-1.499173	-0.548214	0.769629	1.021694	0.782517	0.990256
ECK4170-HFLK	0.887313	-0.705747	0.212459	-1.75449	-1.368149	-2.069284	-0.727985
ECK3942-PFLD	1.832888	1.661287	2.500401	0.304357	1.206466	-0.161759	0.368015
ECK1602-YDGC	0.575994	1.11927	-0.904037	-0.736507	-0.333518	-0.093699	0.56492
ECK3899-RHAR	0.356562	0.1501	-0.348419	0.710092	0.498139	0.449133	0.276
ECK2175-YEJG	0.996666	0.167079	0.384712	0.103119	0.303973	0.297039	1.162747
ECK4147-FRDD	1.498864	0.517114	-0.185595	0.61321	1.156339	0.788926	-0.81287
ECK1665-YDHT	1.978266	1.358351	0.271597	-1.178281	-1.00006	-1.069615	-0.889276
ECK1319-TYRR	-0.95042	0.00001	0.395292	-0.647259	-0.319836	-1.932241	-0.757644
ECK2236-YFAD	-0.480662	1.448136	-1.022793	1.354148	0.723689	1.028452	0.650011
ECK2269-YFBP	-0.977612	0.999178	-0.956503	-0.431103	-0.35402	-0.11303	0.241878
ECK1115-PHOQ	0.268234	1.369909	0.499422	-1.010135	-0.584754	0.389244	-1.35822
ECK1809-YOAH	-2.08752	-1.626143	-3.750626	1.401148	0.426904	0.551868	1.660519
ECK0114-ACEF	-0.769571	-6.493279	-4.683541	-2.85884	-4.608531	-4.514491	-3.219238
ECK2350-YFDM'	0.078433	0.097114	-1.939774	-0.535931	-0.241441	0.275078	0.687177
ECK1884-CHEB	-1.37642	0.193715	-1.348183	-0.845218	-1.57227	0.080565	-0.032624
ECK1847-YEBE	-2.719304	-0.368849	-0.556017	-1.116024	-2.469706	-1.836376	-0.909791
ECK0710-SDHC	1.06212	1.252203	1.671173	0.700507	0.616278	0.668388	0.276114
ECK2393-YFED	-1.817781	-1.071627	-3.323105	-0.453833	-2.004865	0.29541	0.307368
ECK2212-ATOS	-2.079667	-0.229411	-0.711644	-2.049309	-2.167849	-1.089209	-1.650638
ECK1905-YECH	-2.013188	-0.117615	-1.450193	-0.89417	-1.007819	-1.397866	-1.492902
ECK2780-BARA	-0.531518	0.673278	-1.479747	-0.139496	0.367762	-0.38652	-0.303112
ECK2002-YEEA	-0.042686	0.1958	0.145274	0.555911	-0.446264	0.70978	1.042657
ECK1455-PPTA	1.438447	0.62489	0.948684	-0.557599	-0.855433	0.099312	1.343672
ECK3660-UHPA	0.482954	1.281825	-0.136837	-0.273408	-0.04265	-0.196708	0.327945
ECK2105-YEHE	-1.479174	-1.304984	-1.750929	-0.429008	-0.768262	0.369861	0.406721
ECK2148-CIRA	-1.313587	-1.341192	-0.188961	1.182537	1.084631	1.281809	-0.035392
ECK4106-BASR	0.957186	0.015181	0.741766	0.256063	1.043936	0.52467	0.349831
ECK2116-YEHS	0.796705	2.086596	0.904382	-1.738955	-0.30101	-1.653561	0.025132
ECK0761-YBHC	-0.877291	-0.550488	-0.151414	-0.249819	0.358622	0.887489	-0.993657
ECK0287-YKGJ	-0.27386	0.821783	1.143448	-0.505965	-0.127167	-1.057104	-1.003141
ECK1185-TREA	-0.442313	-0.852524	1.015606	0.12172	0.044611	-0.168019	-0.600471
ECK0992-YCCE	0.168688	-0.377745	-0.240413	-0.507292	0.202647	-0.175747	0.829642
ECK0355-YAIO	-1.904878	-1.510088	-0.267801	1.963355	1.201818	1.60158	0.505347
ECK0862-POXB	0.701686	-0.156207	0.856018	-1.475531	-1.024034	-2.138768	-0.095958
ECK2056-WZA	0.066616	-0.396447	-0.12475	1.862136	1.506387	0.611192	0.255404
ECK0386-YAIE	-0.523897	-1.26981	0.489677	0.613589	0.523472	0.698799	0.1372
ECK2930-TKTA	0.483956	1.106446	2.281365	-1.18261	-0.909255	0.040239	-0.784917
ECK1101-YCFT	0.726162	-0.209121	0.437516	1.003523	0.2538	0.963409	0.202834
ECK0405-TSX	0.339468	-0.060807	-0.158318	2.697568	1.595718	1.096504	1.725139
ECK3062-AER	0.421632	0.345578	0.167402	1.714361	1.125798	0.990366	1.631048
ECK1252-YCIF	0.509968	0.257285	0.779679	0.464114	0.169223	0.917137	1.16877
ECK0757-YBHD	1.316857	0.849456	0.918774	-1.690862	-0.477717	-1.607328	-0.5759
ECK0636-YBEL	1.059277	0.901613	-0.035603	0.91609	1.240771	0.593003	-0.504138
ECK1324-YCJY	-0.140578	-0.260027	0.555086	0.801817	0.939548	0.709461	0.423651
ECK1590-YNFL	0.896319	1.338817	0.008002	0.384846	0.542213	0.666378	-0.934182
ECK0690-YBFB	-2.290895	-0.733164	-0.44373	0.461036	0.684045	0.761718	0.535994
ECK0563-CUSR	-0.205711	-0.005982	-1.319084	0.53638	0.058426	-0.454109	-0.463915
ECK1357-YDAU	0.372694	0.410494	0.252084	0.490978	0.725156	0.507263	-1.299566
ECK0107-PPDD	-0.791442	-0.248672	-2.594714	1.258808	1.378936	1.780923	2.288052
ECK0787-YBIA	0.146454	-0.100781	-0.57051	-0.279491	0.161649	0.02824	-0.828847
ECK1404-YNBD	-1.206471	-1.495491	-1.59783	0.768436	1.898558	0.748934	0.477349
ECK0488-TESA	-0.741273	0.09922	-0.243179	0.791426	-0.148289	0.138969	1.077344
ECK0849-YBJO	0.459896	0.625066	-0.591147	-1.317437	-1.288341	-1.073851	-1.464927
ECK1113-PEPT	-1.622795	0.135261	-0.785462	-0.36589	-0.019223	0.099574	-0.686081
ECK1021-YCDY	-0.942966	0.096112	-0.494546	-2.717382	-2.039402	-2.313305	-1.440061
ECK1764-SPPA	-1.205679	0.699168	0.364868	-0.488749	-0.831137	0.480222	-0.335365
ECK2457-EUTS	2.183854	1.907077	1.553213	-0.938537	-0.693021	-0.816263	0.069512
ECK1264-BTUR	-0.532484	-1.158715	0.715325	0.142265	0.028079	0.48576	-0.687674
ECK2322-MEPA	0.246833	0.193055	-0.373842	-1.252667	-1.039849	-0.779186	-1.490567
ECK1271-ACNA	1.033131	0.815707	1.371271	-3.108299	-3.422537	-2.489258	-2.299557
ECK0830-DEOR	0.473405	0.735299	1.043132	0.100794	0.396146	0.03148	-0.435787
ECK2748-IAP	-0.594363	0.796354	0.238476	-1.881024	-0.997124	-1.846943	-1.389021
ECK2624-YFJL	-0.760926	-0.018262	0.344812	0.15587	-0.293861	0.361505	-0.474536
ECK2800-FUCR	-1.38166	-0.15567	-0.081109	0.011409	0.4251	0.673171	-0.896571
ECK3117-SOHA	0.071609	-0.059839	-0.480846	-0.696456	0.067188	-0.504036	-0.145154
ECK2273-NUOK	2.349982	1.423646	2.798195	0.178985	0.049749	0.437341	0.980181
ECK2643-YPJF	-0.35927	-1.512456	-0.321831	-0.092564	0.428053	0.850497	-1.019983
ECK2912-ARGP	0.998952	-0.50594	0.727532	-1.30534	-1.034276	-2.33058	-2.306148
ECK3891-FRVX	-1.004347	-2.182592	0.330498	0.092357	0.986057	0.144223	-0.006288
ECK2282-NUOA	3.470609	2.557844	4.693052	0.197889	0.775922	1.490989	2.113777
ECK2744-YGBE	0.870437	1.121475	1.435352	-1.161935	-0.815977	-1.099398	-2.29135
ECK3483-PRLC	-0.227699	-1.138173	0.92081	-0.01982	0.460947	0.170311	-0.773343
ECK3367-YHFW	0.093811	0.072641	0.375587	-1.352894	-0.047041	-0.947874	-0.580095
ECK1565-YDFA	0.818141	0.229879	1.19492	0.634468	1.277521	0.672955	0.511804
ECK4171-HFLC	0.107394	-1.617598	1.005273	-0.889719	-0.658933	-0.33578	-1.965994
ECK1621-CNU	1.02644	0.42662	0.943916	-0.57654	-0.857077	0.052973	-0.106342
ECK2218-YFAP	0.925933	0.356099	0.846447	0.351551	0.732049	0.576029	0.67332
ECK4148-FRDC	0.182739	0.013047	-0.416527	0.91998	-0.29481	-0.252051	
ECK1668-YDHW	0.666146	0.861297	2.375589	0.533917	0.774889	-0.004123	1.061245
ECK1613-UIDR	-0.194073	0.396708	1.569822	-1.357862	-1.582994	-0.928686	-0.980932
ECK2237-YPAA	0.661273	1.155482	1.461109	-0.630169	0.150995	-1.015765	-0.726456
ECK0612-DPIB	-0.596943	-0.817371	-0.624444	0.281223	0.545973	-0.00295	0.52457
ECK2285-YFBR	0.647358	-0.277639	0.788445	0.566975	0.499472	0.043765	0.309279
ECK1116-PHOP	1.059884	0.263952	0.318968	0.296713	0.057547	-0.245161	0.571848
ECK1818-YOBD	-0.445953	-0.437451	-0.435386	-0.04296	-0.78798	-0.104975	-0.494761
ECK0117-ACNB	1.105151	1.271669	2.51979	-0.673913	-0.203432	0.652226	-0.268024
ECK2352-YFDO'	-1.695029	-0.468228	-1.814664	0.333977	0.181388	0.259263	1.932608
ECK1889-CHEA	-0.869121	-0.8457	-1.044721	0.832584	0.849227	1.122399	-0.080262
ECK1849-YEBG	-0.520181	-0.183941	1.170147	-0.416362	-0.809025	-0.964528	-0.615903
ECK0711-SDHD	-0.197112	-0.368109	1.009445	-0.498417	-0.503008	-0.690712	0.014543
ECK2414-YFEK	-0.158822	0.705923	-1.008603	-1.117559	-1.705413	-0.844658	-0.140442
ECK2213-ATOC	-2.253355	0.537332	0.664461	-1.24425	-1.10588	-0.480935	-0.388368
ECK1914-YECF	-1.516364	-0.875143	-0.220465	-0.077886	-0.838257	0.155732	0.186193
ECK3016-QSEB	-1.236815	1.517602	1.354199	0.464183	-0.386634	-0.062815	-0.089733
ECK2007-YEEE	-0.966246	0.730436	0.396194	1.626119	0.735945	1.137803	1.639925
ECK1466-YDDL'	1.36881	1.356982	1.644485	-1.989632	-2.195595	-1.052364	0.069363
ECK3861-GLNG	-1.37818	-0.492321	1.209301	-0.498008	-0.40499	-0.018252	-0.691943
ECK2109-YEHI	-0.00668	0.328947	0.735073	0.078333	-0.521181	0.335963	-0.208919
ECK1547-YDFP	0.612982	0.468419	0.496414	-0.6363	-1.093027	-0.866106	-0.518048
ECK4117-DCUR	0.475893	0.208886	-0.254583	0.235477	1.094653	0.156707	-0.520423
ECK1014-PGAA	-0.447762	-0.310868	0.499653	-2.390202	-1.986714	-2.865192	-1.891548
ECK2043-CPSB	0.182093	0.038349	0.092519	0.427793	-0.441219	0.640084	-0.022373
ECK0994-YCCJ	0.063163	-0.668185	-0.409609	1.191871	0.520466	0.719659	0.261518
ECK1088-FHUE	1.323707	-0.348518	0.594598	-1.770676	-1.353976	-1.074944	0.575486
ECK0360-YAIP	-0.617575	-0.347572	-0.731131	1.276845	0.647748	0.523572	0.580298
ECK1377-LDHA	-0.57345	-1.032261	-0.661582	2.148092	1.483953	2.025107	0.329039
ECK0794-FIU	0.503179	0.537931	1.34061	-2.931023	-2.590259	-1.537404	-2.826244
ECK0398-ACPH	1.175042	-0.147991	0.991929	-1.265459	-1.556893	-1.710832	-1.366705
ECK2331	0.857687	-0.36809	-0.326855	0.544071	1.011031	0.696057	0.228116
ECK3132-YRAJ	0.718906	0.269194	-0.430764	-1.315155	-0.389208	-0.305155	-1.033412
ECK0508-YLBA	0.729638	-1.056505	-1.435579	-0.077629	-1.690205	-1.347433	-0.2182
ECK2102-YEHB	-0.256987	-0.499201	0.602057	1.013629	0.257211	1.248063	0.097029
ECK1166-YCGK	0.17812	-0.288522	0.674494	-0.558843	0.044738	-0.073974	-0.629246
ECK2854	0.312325	-0.476333	0.135254	-0.973885	-0.707024	-0.092982	0.613529
ECK0559-YBCH	1.099569	-0.674787	0.709737	0.138877	0.18907	0.643327	0.117177
ECK1886-TAP	1.451927	1.497398	1.304263	-1.964713	-0.899448	-0.752698	-1.108811
ECK1253-YCIG	0.631382	1.517095	1.418872	-1.006681	-1.115356	-1.044279	-0.261547
ECK0638-YBER	-0.10091	-0.783501	-0.083037	-1.273606	-0.970562	-1.123564	-1.402067
ECK0255-YKFA	-0.150865	0.245042	0.486213	1.413264	0.820163	0.73292	-0.000631
ECK1328-YNAJ	0.009158	0.846075	-0.350564	0.071387	-0.344948	0.378468	-0.245894
ECK1340-DBPA	-1.609471	-2.690433	-0.949472	-2.755851	-2.067023	-2.735289	-2.474062
ECK0692-YBFC	1.074846	0.499284	0.325061	0.206416	-0.037166	0.675025	-0.399941
ECK3391-ENVZ	1.620475	1.287291	1.42008	-2.097717	-0.678986	-2.963689	0.403126
ECK0148-MRCB	-1.237238	-1.250978	-0.207756	0.155742	0.353271	-1.348622	-0.441052
ECK0791-YBIJ	-0.840281	-0.319402	-0.399156	1.312155	1.124694	0.984962	0.380888
ECK2509-YFGM	0.283956	0.135321	0.614389	0.747475	0.740054	0.366541	-0.134378
ECK1407-YDCF	-1.763836	-0.622581	0.020206	-2.17823	-2.839187	-2.237457	-1.274538
ECK0867-YBJD	-1.587538	-1.406577	-1.059722	0.286941	1.318982	0.463282	0.294819
