ACGAptspp	N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm)	pep[c] + acgam[p]  -> acgam6p[c] + pyr[c] 	( Crr (b2417)  and PtsG (b1101)  and PtsH (b2415)  and PtsI (b2416)  ) or ( NagE (b0679)  and PtsH (b2415)  and PtsI (b2416)  )	((b2417 and b1101 and b2415 and b2416) or (b0679 and b2415 and b2416))	( Crr and PtsG and PtsH and PtsI ) or ( NagE and PtsH and PtsI )	Transport, Inner Membrane		0	0	1000	0
ACHBS	2-aceto-2-hydroxybutanoate synthase	2obut[c] + h[c] + pyr[c]  -> 2ahbut[c] + co2[c] 	( IlvB ( b3670 and b3671 )  ) or ( IlvH ( b0077 and b0078 )  )	((b3670 and b3671) or (b0077 and b0078))	( IlvB ) or ( IlvH )	Valine, Leucine, and Isoleucine Metabolism		0	0	1000	0
ACLS	acetolactate synthase	h[c] + 2 pyr[c]  -> alac-S[c] + co2[c] 	( IlvB ( b3670 and b3671 )  ) or ( IlvH ( b0077 and b0078 )  )	((b3670 and b3671) or (b0077 and b0078))	( IlvB ) or ( IlvH )	Valine, Leucine, and Isoleucine Metabolism	4.1.3.18	0	0	1000	0
ALAALAabcpp	D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm)	atp[c] + h2o[c] + alaala[p]  -> adp[c] + alaala[c] + h[c] + pi[c] 	( DdpA (b1487)  and DdpB (b1486)  and DdpC (b1485)  and DdpD (b1484)  and DdpF (b1483)  ) or ( DppA (b3544)  and DppB (b3543)  and DppC (b3542)  and DppD (b3541)  and DppF (b3540)  )	((b1487 and b1486 and b1485 and b1484 and b1483) or (b3544 and b3543 and b3542 and b3541 and b3540))	( DdpA and DdpB and DdpC and DdpD and DdpF ) or ( DppA and DppB and DppC and DppD and DppF )	Transport, Inner Membrane		0	0	1000	0
ARBTptspp	arbutin transport via PEP:Pyr PTS (periplasm)	pep[c] + arbt[p]  -> arbt6p[c] + pyr[c] 	( BglF (b3722)  and PtsH (b2415)  and PtsI (b2416)  ) or ( AscF (b2715)  and PtsH (b2415)  and PtsI (b2416)  )	((b3722 and b2415 and b2416) or (b2715 and b2415 and b2416))	( BglF and PtsH and PtsI ) or ( AscF and PtsH and PtsI )	Transport, Inner Membrane		0	0	1000	0
ARGabcpp	L-arginine transport via ABC system (periplasm)	atp[c] + h2o[c] + arg-L[p]  -> adp[c] + arg-L[c] + h[c] + pi[c] 	( ArgT (b2310)  and HisM (b2307)  and HisP (b2306)  and HisQ (b2308)  ) or ( ArtI (b0863)  and ArtJ (b0860)  and ArtM (b0861)  and ArtP (b0864)  and ArtQ (b0862)  )	((b2310 and b2307 and b2306 and b2308) or (b0863 and b0860 and b0861 and b0864 and b0862))	( ArgT and HisM and HisP and HisQ ) or ( ArtI and ArtJ and ArtM and ArtP and ArtQ )	Transport, Inner Membrane		0	0	1000	0
ASPCT	aspartate carbamoyltransferase	asp-L[c] + cbp[c]  -> cbasp[c] + h[c] + pi[c] 	( PyrBec ( b4244 and b4245 )  ) or ( PyrB (b4245)  )	((b4244 and b4245) or b4245)	( PyrBec ) or ( PyrB )	Purine and Pyrimidine Biosynthesis	2.1.3.2	0	0	1000	0
ATPS4rpp	ATP synthase (four protons for one ATP) (periplasm)	adp[c] + pi[c] + 4 h[p]  <=> atp[c] + 3 h[c] + h2o[c] 	( AtpF0 ( b3736 and b3737 and b3738 )  and AtpF1 ( b3731 and b3732 and b3733 and b3734 and b3735 )  and AtpI (b3739)  ) or ( AtpF0 ( b3736 and b3737 and b3738 )  and AtpF1 ( b3731 and b3732 and b3733 and b3734 and b3735 )  )	(((b3736 and b3737 and b3738) and (b3731 and b3732 and b3733 and b3734 and b3735) and b3739) or ((b3736 and b3737 and b3738) and (b3731 and b3732 and b3733 and b3734 and b3735)))	( AtpF0 and AtpF1 and AtpI ) or ( AtpF0 and AtpF1 )	Oxidative Phosphorylation	3.6.3.14	1	-1000	1000	0
BMOGDS1	bis-molybdopterin guanine dinucleotide synthase (single GDP)	bmoco[c] + gtp[c] + h[c]  -> bmoco1gdp[c] + ppi[c] 	( MobA (b3857)  ) or ( MobA (b3857)  and MobB (b3856)  )	(b3857 or (b3857 and b3856))	( MobA ) or ( MobA and MobB )	Cofactor and Prosthetic Group Biosynthesis		0	0	1000	0
BMOGDS2	bis-molybdopterin guanine dinucleotide synthase	bmoco1gdp[c] + gtp[c] + h[c]  -> bmocogdp[c] + ppi[c] 	( MobA (b3857)  ) or ( MobA (b3857)  and MobB (b3856)  )	(b3857 or (b3857 and b3856))	( MobA ) or ( MobA and MobB )	Cofactor and Prosthetic Group Biosynthesis		0	0	1000	0
BUTSO3abcpp	butanesulfonate transport via ABC system (periplasm)	atp[c] + h2o[c] + butso3[p]  -> adp[c] + butso3[c] + h[c] + pi[c] 	( SsuA (b0936)  and SsuB (b0933)  and SsuC (b0934)  ) or ( TauA (b0365)  and TauB (b0366)  and TauC (b0367)  )	((b0936 and b0933 and b0934) or (b0365 and b0366 and b0367))	( SsuA and SsuB and SsuC ) or ( TauA and TauB and TauC )	Transport, Inner Membrane		0	0	1000	0
BWCOGDS1	tungsten bispterin guanine dinucleotide synthase (single GDP)	bwco[c] + gtp[c] + h[c]  -> bwco1gdp[c] + ppi[c] 	( MobA (b3857)  ) or ( MobA (b3857)  and MobB (b3856)  )	(b3857 or (b3857 and b3856))	( MobA ) or ( MobA and MobB )	Cofactor and Prosthetic Group Biosynthesis		0	0	1000	0
BWCOGDS2	tungsten bispterin guanine dinucleotide synthase	bwco1gdp[c] + gtp[c] + h[c]  -> bwcogdp[c] + ppi[c] 	( MobA (b3857)  ) or ( MobA (b3857)  and MobB (b3856)  )	(b3857 or (b3857 and b3856))	( MobA ) or ( MobA and MobB )	Cofactor and Prosthetic Group Biosynthesis		0	0	1000	0
