1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44
Feature	Locustag K-12	Gene name K-12	Locus name K-12	Synonyms of locus names K-12	Locustag MG1655	Left nucleotide MG1655	Right nucleotide MG1655	Direction of Transcription MG1655	Comment on gene boundary MG1655	Locustag W3110	Left nucleotide W3110	Right nucleotide W3110	Direction of Transcription W3110	Comment on gene boundary W3110	Type of gene product	Gene product description	Comment gene product description	Evidence	Literature	Cell location	Context (genetic element)	Enzyme Nomenclature (EC number)	Cofactor	Protein complex	Transporter Classification	Transcription regulator family	Proteases	Signal peptide predictions	Signal Peptide Cleavage Sites	Transmembrane segments 1	Transmembrane segments 2	TM protein C-term location	Transcriptional unit(s) regulated	Operons with attenuation regulation	Modularized function	Structure (PDB) id	COG assignment	SCOP assignment	PFAM assignment	TIGRFAM assignment	GO cellular component	GO cellular process	GO molecular function
CDS	ECK0001	thrL	thrL		b0001	190	255	+	(no change)	JW4367	4646522	4646587	+		l	thr operon leader peptide		E	6277952 -!- 6818426	Cytoplasmic																				TIGR02077;thr_lead_pep: thr operon leader peptide;2.2e-05;codon 1-21		GO:0009088 threonine biosynthesis	
CDS	ECK0002	thrA	thrA	Hs -!- thrA1 -!- thrA2 -!- thrD	b0002	337	2799	+	(no change)	JW0001	337	2799	+		e	fused aspartokinase I -!- homoserine dehydrogenase I	threonine sensitive	E	1598232 -!- 353521 -!- 78130080 -!- 85080024 -!- 89274327 -!- 387092 -!- 390305 -!- 6298218 -!- 7003595	Cytoplasmic		2.7.2.4 -!- 1.1.1.3		monomeric multimer; aspartate kinase I / homoserine dehydrogenase I (b0002)											fused: aspartokinase I (aa1-461) -!- homoserine dehydrogenase (aa 464-820)		COG0527;Aspartokinases -!- COG0460;Homoserine dehydrogenase	"53633; Carbamate kinase-like -!- 51735; NAD(P)-binding Rossmann-fold domains -!- 55347; Glyceraldehyde-3-phosphate dehydrogenase-like, C-terminal domain"	"PF00696;AA kinase family;2.3e-65;codon 1-284 -!- PF01842;ACT;8.4e-08;codon 316-384 -!- PF01842;ACT;1.2e-09;codon 397-468 -!- PF03447;Homoserine dehydrogenase, NAD binding;2.3e-65;codon 479-612 -!- PF00742;Homoserine dehydrogenase;1.8e-107;codon 614-811"	TIGR00657;asp_kinases: aspartate kinase;2.4e-244;codon 1-461	GO:0005737 cytoplasm	GO:0009088 threonine biosynthesis -!- GO:0009086 methionine biosynthesis -!- GO:0009090 homoserine biosynthesis	
CDS	ECK0003	thrB	thrB		b0003	2801	3733	+	(no change)	JW0002	2801	3733	+		e	homoserine kinase		E	76165260 -!- 81150470	Cytoplasmic		2.7.1.39	Mg2+	monomeric multimer; homoserine kinase (b0003)													COG0083;Homoserine kinase	54211; Ribosomal protein S5 domain 2-like -!- 55060; GHMP Kinase	PF00288;GHMP kinases putative ATP-binding protei;2e-40;codon 81-274	TIGR00191;thrB: homoserine kinase;3.6e-193;codon 2-310	GO:0005737 cytoplasm	GO:0009088 threonine biosynthesis	
CDS	ECK0004	thrC	thrC		b0004	3734	5020	+	(no change)	JW0003	3734	5020	+		e	threonine synthase		E	6316258 -!- 94058249 -!- 9298646 -!- 9600841 -!- 1598232 -!- 6150934	Cytoplasmic		4.2.3.1															COG0498;Threonine synthase	53686; Tryptophan synthase beta subunit-like PLP-dependent enzymes	PF00291;Pyridoxal-phosphate dependent enzyme;1.3e-31;codon 77-378	TIGR00260;thrC: threonine synthase;2.3e-186;codon 52-398	GO:0005737 cytoplasm	GO:0009088 threonine biosynthesis	
CDS	ECK0005	yaaX	yaaX		b0005	5234	5530	+	(no change)	JW0004	5234	5530	+		o	predicted protein		C										1-23						regulated by attenuation (yaaX)									
CDS	ECK0006	yaaA	yaaA		b0006	5683	6459	-	(no change)	JW0005	5683	6459	-		o	conserved protein		C		Cytoplasmic																	COG3022;Uncharacterized protein conserved in bacteria		PF03883;Protein of unknown function (DUF328);2.4e-188;codon 1-256				
CDS	ECK0007	yaaJ	yaaJ		b0007	6529	7959	-	(no change)	JW0006	6529	7959	-		pt	predicted transporter		C		Integral Membrane Protein										11	9						COG1115;Na+/alanine symporter		PF01235;Sodium:alanine symporter family;3e-295;codon 40-458	TIGR00835;agcS: amino acid carrier protein;7.9e-276;codon 13-441	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane		
CDS	ECK0008	talB	talB	yaaK	b0008	8238	9191	+	(no change)	JW0007	8238	9191	+		e	transaldolase B		E	8332529 -!- 92334977 -!- 11298760 -!- 7592346 -!- 8805555 -!- 9007983 -!- 9298646	Cytoplasmic		2.2.1.2		monomeric multimer; transaldolase B (b0008)												1ONR	COG0176;Transaldolase	51569; Aldolase	PF00923;Transaldolase;2.6e-183;codon 13-313	TIGR00874;talAB: transaldolase;4e-249;codon 3-317	GO:0005737 cytoplasm	"GO:0009052 pentose-phosphate shunt, non-oxidative branch"	
CDS	ECK0009	mog	mog	bisD -!- chlG -!- mogA -!- yaaG	b0009	9306	9893	+	(no change)	JW0008	9306	9893	+		pf	predicted molybdochelatase		C	10636880 -!- 90148107 -!- 93133126 -!- 93368423 -!- 96312378 -!- 8088525 -!- 8400364	Cytoplasmic																1DI7	COG0521;Molybdopterin biosynthesis enzymes	53218; Molybdenum cofactor biosynthesis proteins	PF00994;Probable molybdopterin binding domain;3e-41;codon 4-146	TIGR00177;molyb_syn: molybdenum cofactor synthesis do;2.7e-43;codon 3-148	GO:0005737 cytoplasm	GO:0006777 Mo-molybdopterin cofactor biosynthesis	
CDS	ECK0010	yaaH	yaaH		b0010	9928	10494	-	(no change)	JW0009	9928	10494	-		pm	conserved inner membrane protein associated with acetate transport		C		Integral Membrane Protein					9.B.33; The YaaH (YaaH) Family					6	6	in					COG1584;Predicted membrane protein		PF01184;GPR1/FUN34/yaaH family;7.8e-130;codon 1-188				
